TEST_SET,DATASET,EXPERIMENT,REGRESSOR,VALIDATION_MSE,TEST_MSE,PREDICTED_F1,GLOBAL_BEST_F1,PERFORMANCE,OPTIMIZATION_TIME,BEST_REGRESSOR_FIT_TIME,BEST_REGRESSOR_PREDICTION_TIME,WITH_DATA_FEATURES,LM,K,CLUSTERING,THRESHOLD,ETEER_RUNTIME
D1,gridsearch,DL-SKLEARN,RandomForestRegressor,119.20622708908228,204.57627362699,55.3459,78.4314,0.7057,982.8180568218232,6.311413764953613,0.1034042835235595,1,st5,1,KiralyMSMApproximateClustering,0.3,5.771385192871094
D2,gridsearch,DL-SKLEARN,RandomForestRegressor,107.60501078665226,814.5281961029075,78.4566,85.8486,0.9139,1101.612067937851,47.20548582077026,0.85398268699646,1,st5,100,KiralyMSMApproximateClustering,0.1,3.432310104370117
D3,gridsearch,DL-SKLEARN,RandomForestRegressor,115.12228166169992,466.6512696196969,57.1667,59.1887,0.9658,1234.4952762126925,25.593095302581787,0.4295575618743896,1,st5,3,UniqueMappingClustering,0.05,5.847276926040649
D4,gridsearch,DL-SKLEARN,RandomForestRegressor,106.51814996970064,2552.463408762048,98.1319,98.6011,0.9952,1437.9993250370026,8.044514656066895,0.120732307434082,1,st5,35,KiralyMSMApproximateClustering,0.3,5.370705842971802
D5,gridsearch,DL-SKLEARN,RandomForestRegressor,108.4709465499824,388.65361903563,74.1636,78.9235,0.9397,994.9075314998628,38.1631875038147,0.6728053092956543,1,sminilm,1,KiralyMSMApproximateClustering,0.7,2.0470404624938965
D6,gridsearch,DL-SKLEARN,RandomForestRegressor,117.93195864549207,396.7244383890355,45.3333,60.4225,0.7503,1329.8291006088257,7.8642191886901855,0.0792882442474365,1,sminilm,2,KiralyMSMApproximateClustering,0.7,1.091916561126709
D7,gridsearch,DL-SKLEARN,RandomForestRegressor,115.04125291830678,260.9544234839603,62.1178,67.76,0.9167,1343.8144946098328,47.72350740432739,0.468775987625122,1,sminilm,1,KiralyMSMApproximateClustering,0.6,1.5752086639404297
D8,gridsearch,DL-SKLEARN,RandomForestRegressor,129.84957035892288,757.0148865612672,40.7814,49.5337,0.8233,1359.9293880462646,43.95809435844421,0.4237270355224609,1,st5,93,KiralyMSMApproximateClustering,0.15,25.839627265930176
D9,gridsearch,DL-SKLEARN,RandomForestRegressor,83.73354821985967,1429.3270577699086,94.3485,94.9241,0.9939,1218.7998840808868,41.87770462036133,0.4586341381072998,1,st5,73,KiralyMSMApproximateClustering,0.4,76.68009185791016
D10,gridsearch,DL-SKLEARN,RandomForestRegressor,117.1761943596746,631.1483670014699,54.9952,56.117,0.98,1579.8445913791656,50.90659141540527,0.5779235363006592,1,st5,96,KiralyMSMApproximateClustering,0.3,52.05922794342041
